tweet_id,tweet_content,timestamp
'878040352913055750,"s/b N &amp; Q trains are running with delays, due to a rail condition at Canal St. Allow additional travel time.",Fri Jun 23 00:01:47 +0000 2017
'878019462741602304,"Following an earlier incident at 36 St (Bklyn), D, N and R train service has resumed with delays.",Thu Jun 22 22:38:47 +0000 2017
'878017493863936001,"n/b D &amp; N trains service changes and delays, due to a train with mechanical problems at 36 St (Bklyn). See https://t.co/vhZQ2kZ2vb",Thu Jun 22 22:30:57 +0000 2017
'878014735404326912,"Following an earlier incident at 170 St, B and D train service has resumed with delays.",Thu Jun 22 22:20:00 +0000 2017
'878013490220453888,"n/b R trains are running express from 59 St (Bklyn) to Atlantic Av, due to a train with mechanical problems at 45 St.",Thu Jun 22 22:15:03 +0000 2017
'878012870532882433,"n/b B trains are running express from 167 St to Bedford Park Blvd, due to a sick passenger at 170 St. Allow additional travel time.",Thu Jun 22 22:12:35 +0000 2017
'878011823303282688,"n/b B and D trains are running express from 167 St to Bedford Park Blvd, due to a sick passenger at 170 St.",Thu Jun 22 22:08:26 +0000 2017
'878009956112359424,"s/b N and Q trains are running with delays, due to a rail condition at Canal St. Allow additional travel time.",Thu Jun 22 22:01:00 +0000 2017
'878009862034259968,"71 Av. bound M trains are running on the F line from Rockefeller Ctr to 36 St (QNS), due to a rail condition at Lexington-53 St.",Thu Jun 22 22:00:38 +0000 2017
'877998771090673664,"71 Av bound M trains are running on the F line from Rockefeller Ctr to 36 St (QNS), due to a rail condition at Lexington-53 St.",Thu Jun 22 21:16:34 +0000 2017
'877990756178198529,"Following an earlier incident at Broadway-Lafayette St, B and D train service has resumed with delays.",Thu Jun 22 20:44:43 +0000 2017
'877990638624448513,"Following an earlier incident at B'way-Lafayette St, B and D train service has resumed with delays.",Thu Jun 22 20:44:15 +0000 2017
'877989287714852864,"71 Av bound [M] trains are running on the [F] line from Rockefeller Ctr to 36 St (QNS), due to a rail condition at Lex/53 St.",Thu Jun 22 20:38:53 +0000 2017
'877987696991506432,"Due to a rail condition at Lexington Av-53 St, [E] and [F] service changes and delays are in effect. See https://t.co/vhZQ2kZ2vb",Thu Jun 22 20:32:33 +0000 2017
'877985483137196035,"Due to a rail condition at Lexington Av-53 St, [E] and [F] service changes and delays are in effect. See mta.in",Thu Jun 22 20:23:46 +0000 2017
'877982575628890113,"Due to a rail condition at Lexington Av-53 St, northbound E and F trains are running with delays.",Thu Jun 22 20:12:12 +0000 2017
'877981525517582336,"s/b. N and Q trains are running with delays, due to a rail condition at Canal St. Allow additional travel time.",Thu Jun 22 20:08:02 +0000 2017
'877981455519019008,s/b. B and D trains are running with delays due to signal problems at B'Way-Lafayette St. Allow additional travel time.,Thu Jun 22 20:07:45 +0000 2017
'877979116464635906,"Following an earlier incident at Longwood Av, 6 and 6 express train service has resumed with delays.",Thu Jun 22 19:58:28 +0000 2017
'877978443614478341,"b/d 6 and 6 exp train service changes and delays, due to a train with mechanical problems at Longwood Av. See https://t.co/vhZQ2kZ2vb",Thu Jun 22 19:55:47 +0000 2017
'877975007925641218,"Following an earlier incident between Woodlawn and Mosholu Pkwy, 4 train service has resumed with delays.",Thu Jun 22 19:42:08 +0000 2017
'877974295212736512,B and D trains are running with delays. Details below: https://t.co/vkNmooiJwr,Thu Jun 22 19:39:18 +0000 2017
'877973969634299905,"Following an earlier incident at Forest Hills-71 Av, E F M and R train service has resumed with delays.",Thu Jun 22 19:38:00 +0000 2017
'877971314790629377,"n/b 4 trains are terminating at Bedford Pk, due to ongoing track maintenance b/t Woodlawn &amp; Mosholu Pkwy. Allow additional travel time.",Thu Jun 22 19:27:28 +0000 2017
'877969128815869952,"n/b [M] and [R] trains are running express from Roosevelt Av to 71 Av, due to a train with mechanical problems at 71 Av.",Thu Jun 22 19:18:46 +0000 2017
'877967924472012800,"Due to an earlier incident at 30 Av, N and W train service has resumed with delays.",Thu Jun 22 19:13:59 +0000 2017
'877949124204560384,s/b B and D trains are running with delays due to signal problems at B'Way-Lafayette St. Allow additional travel time.,Thu Jun 22 17:59:17 +0000 2017
'877943949478031360,"Following an earlier incident at 34 St-Hudson Yards, 7 train service has resumed with delays.",Thu Jun 22 17:38:43 +0000 2017
'877943152673529856,"Following an earlier incident at 42 St-Bryant Park, A, B, C, D, E and F train service has resumed with delays.",Thu Jun 22 17:35:33 +0000 2017
'877942000426692608,"s/b B and D via C W 4 St to Jay St, then via F to Stillwell Av, due to NYPD activity at 42 St-Bryant Park. Allow additional travel time.",Thu Jun 22 17:30:58 +0000 2017
'877940741275889664,"b/d 7 trains are running with delays, due to an investigation at 34 St-Hudson Yards. Allow additional travel time.",Thu Jun 22 17:25:58 +0000 2017
'877939692825702401,"s/b B and D trains are running with delays, due to NYPD activity at 42 St-Bryant Park. Allow additional travel time.",Thu Jun 22 17:21:48 +0000 2017
'877938897220648960,#ServiceAlert: s/b B and D trains are running with delays due to signal problems at B'Way-Lafayette St. Allow additional travel time.,Thu Jun 22 17:18:39 +0000 2017
'877937104444997633,"s/b B and D trains are running on the F line from W 4 St to Stillwell Av, due to a train with mechanical problems at B'Way-Lafayette St.",Thu Jun 22 17:11:31 +0000 2017
'877936164652580864,"s/b B and D trains are running with delays, due to a train with mechanical problems at Broadway-Lafayette St. Allow additional travel time.",Thu Jun 22 17:07:47 +0000 2017
'877934709019480067,"s/b D trains are running on the F line from W 4 St to Stillwell Av, due to a train with mechanical problems at B'Way-Lafayette St.",Thu Jun 22 17:02:00 +0000 2017
'877934302725648385,Update: N and Q trains at Canal St. Maintainers are on the scene investigating. We will keep you updated.,Thu Jun 22 17:00:23 +0000 2017
'877931354029039616,"Following an earlier incident at B'Way-Lafayette St, B and D train service has resumed with delays.",Thu Jun 22 16:48:40 +0000 2017
'877930546730598401,"s/b B and D trains are running with delays, due to a train with mechanical problems at B'Way-Lafayette St. Allow additional travel time.",Thu Jun 22 16:45:28 +0000 2017
'877929283859103745,"Following an earlier incident at Kew Gardens-Union Tpke, E and F train service has resumed with delays.",Thu Jun 22 16:40:27 +0000 2017
'877928002797088768,"s/b N and Q trains are running with delays, due to a rail condition at Canal St. Allow additional travel time.",Thu Jun 22 16:35:21 +0000 2017
'877927622092746752,Northbound E and F trains are running with delays due to NYPD activity at Kew Gardens-Union Tpke. Allow additional travel time.,Thu Jun 22 16:33:50 +0000 2017
'877916526883385345,"Following an earlier incident at 86 St, R train service has resumed with delays.",Thu Jun 22 15:49:45 +0000 2017
'877915861855723520,"#ServiceAlert: n/b R trains are running with delays, due to a train with mechanical problems at 86 St. Allow additional travel time.",Thu Jun 22 15:47:07 +0000 2017
'877914463244079106,"Due to an earlier incident at Burnside Av, 4 train service has resumed with delays.",Thu Jun 22 15:41:33 +0000 2017
'877904332326187009,"Due to an earlier incident at Canal St, N, Q, R &amp; W train service has resumed with delays. Allow additional travel time.",Thu Jun 22 15:01:18 +0000 2017
'877902234633351168,"@tothe9s_Again, thanks for bringing this to our attention &amp; the additional information.Supervision has been made aware.Ref#170622-000181^TCB",Thu Jun 22 14:52:58 +0000 2017
'877887718109233154,"Following an earlier incident at 42 St-Times Sq, 1, 2 and 3 train service has resumed with delays.",Thu Jun 22 13:55:17 +0000 2017
'877883144510242816,"Following an earlier incident at Forest Hills-71 Av, M and R train service has resumed with delays.",Thu Jun 22 13:37:06 +0000 2017
'877881563173707776,"b/d M and R trains are running with delays, due to a train with mechanical problems at 71 Av. Allow additional travel time",Thu Jun 22 13:30:49 +0000 2017
'877879697299963905,"s/b 2  delayed, s/b 3 trains are running local from 96 St to 14 St, due to signal problems at 42 St-Times Sq. Allow additional travel time.",Thu Jun 22 13:23:24 +0000 2017
'877877176342687744,"Following an earlier incident at 181 St, 1, 2 and 3 train service has resumed with delays.",Thu Jun 22 13:13:23 +0000 2017
'877876551139770369,"Due to an earlier incident at 42 St-Times Sq, 2 and 3 train service has resumed with delays.",Thu Jun 22 13:10:54 +0000 2017
'877875298380808194,"Some n/b 1 terminate at 137 St or 168 St, some s/b 3 local from 96 St to Chambers St, due to a train with mechanical problems at 181.",Thu Jun 22 13:05:55 +0000 2017
'877873950478422017,"Some s/b 1 terminate at 137 St or 168 St, some s/b 3 local from 96 St to Chambers St, due to a train with mechanical problems at 181 St.",Thu Jun 22 13:00:34 +0000 2017
'877872967430152194,"Following an earlier incident at 14 St-Union Sq, 4, 5 and 6 train service has resumed with delays.",Thu Jun 22 12:56:40 +0000 2017
'877858147054080000,"#ServiceAlert: Following an earlier incident at Lexington Av-59 St, F, R and Q train service has resumed with delays.",Thu Jun 22 11:57:46 +0000 2017
'877852396021350401,"#ServiceAlert:Following an earlier incident at 138 St-Grand Concourse, 4, and 5 train service has resumed with delays.",Thu Jun 22 11:34:55 +0000 2017
